Male_Label,text,Female_Label,text,Label_Comparison
1,田园女权到底啥意思...btw，其实只要自己不被洗脑，活的比谁都好就是真女权。把自己活得精彩，让男人汗颜。,0,田园女权到底啥意思...btw，其实只要自己不被洗脑，活的比谁都好就是真女权。把自己活得精彩，让男人汗颜。,Different
1,然而这只是一个分化阶级内部的好方式而已。所以无产阶级早就说了一律平等。而资产阶级却发展出各种黑白黄赤男女lgbtqqiaa权利。说白了这一套在分化阶级矛盾上是很厉害的。,0,然而这只是一个分化阶级内部的好方式而已。所以无产阶级早就说了一律平等。而资产阶级却发展出各种黑白黄赤男女lgbtqqiaa权利。说白了这一套在分化阶级矛盾上是很厉害的。,Different
1,"但是李子说的是普遍情况，不是特殊行业，特殊需求。大部分情况下，社会并没有给男女相同的机会。很多领导明明在实际工作中非常倚仗女性下属，但在各种场合都会说女性不行，要带孩子，要请假，搬不动东西。。麻烦死了。招聘时，没结婚担心你将来要结婚、要请产假，结了婚的又担心会为了孩子不停请假。,不知道之前是不是还有什么讨论。但就这条来说，觉得你们说的不没盾。有些行业是有特殊要求的，不能为了形式上的平等，而忽略实际需求。比如餐饮、幼儿教育的从业人员必须有健康证，但我们不能说这个是在歧视肺结核病患。性别也一样。",0,"但是李子说的是普遍情况，不是特殊行业，特殊需求。大部分情况下，社会并没有给男女相同的机会。很多领导明明在实际工作中非常倚仗女性下属，但在各种场合都会说女性不行，要带孩子，要请假，搬不动东西。。麻烦死了。招聘时，没结婚担心你将来要结婚、要请产假，结了婚的又担心会为了孩子不停请假。,不知道之前是不是还有什么讨论。但就这条来说，觉得你们说的不没盾。有些行业是有特殊要求的，不能为了形式上的平等，而忽略实际需求。比如餐饮、幼儿教育的从业人员必须有健康证，但我们不能说这个是在歧视肺结核病患。性别也一样。",Different
1,他是真的太不会说话。不过可能竞技运动之类的人都这样，自己在自己的小世界里。但是我觉得柯洁微博已经成了仇女集中营了,0,他是真的太不会说话。不过可能竞技运动之类的人都这样，自己在自己的小世界里。但是我觉得柯洁微博已经成了仇女集中营了,Different
1,我觉得女权在一定程度上就是“平权”，当时也对女权要不要叫“女权”产生过争议（因为觉得叫“女权”听起来很aggressive），但我现在就⬇️,0,我觉得女权在一定程度上就是“平权”，当时也对女权要不要叫“女权”产生过争议（因为觉得叫“女权”听起来很aggressive），但我现在就⬇️,Different
1,我的逻辑里，男性奋斗可不仅仅是为了自己。正如女性生育也不仅仅是为了男性。,0,我的逻辑里，男性奋斗可不仅仅是为了自己。正如女性生育也不仅仅是为了男性。,Different
1,我认识3个不婚男，反婚男，一般三个月到半年换个女朋友。生活乐无边。,0,我认识3个不婚男，反婚男，一般三个月到半年换个女朋友。生活乐无边。,Different
1,我好想知道怎么让社会体制变得更加公平 有时候即使劝服了部分人 权力运行本身还是会将女性推至不利地位,0,我好想知道怎么让社会体制变得更加公平 有时候即使劝服了部分人 权力运行本身还是会将女性推至不利地位,Different
1,我以为看过围城的多少会觉得里面的男性角色普遍更“讨厌”呢,0,我以为看过围城的多少会觉得里面的男性角色普遍更“讨厌”呢,Different
1,"这种心态其实就是人的常态啊，希望借助她人帮她改成自己想要的。这就有点像在我国jc处理家暴，接警后把男的抓走，然后女的就开始撒泼了。我始终记得一句话就是，哎呀，我就只是希望你们让他改好就行了,嘛，因为原po在这方面的描述有缺失啦。我个人是认为双方见过父母，可能在相处过程中已经在考虑结婚了。虽然有些话难听，但是婚姻真的就是家庭的事了，养猫可以，但是结婚后就要考虑很多事情，再只顾虑自己就真的是自私了。其实这男的就应该和女方说清楚，真的没法接受就别处了。而不是网上来求助,对啊。明明是三观不一致，偏偏硬要分个三六九，讲真不养猫狗的人不懂这些不是很正常吗。我妈也觉得猫狗随便养养就好了，这纯粹就只是观念问题啊，在我看来很正常啊，我只觉得评论很可怕，我是讨厌结婚啦。但是微博上这种女人结婚就是失败，在家生孩子带孩子就是失败的观念到底是咋想的",0,"这种心态其实就是人的常态啊，希望借助她人帮她改成自己想要的。这就有点像在我国jc处理家暴，接警后把男的抓走，然后女的就开始撒泼了。我始终记得一句话就是，哎呀，我就只是希望你们让他改好就行了,嘛，因为原po在这方面的描述有缺失啦。我个人是认为双方见过父母，可能在相处过程中已经在考虑结婚了。虽然有些话难听，但是婚姻真的就是家庭的事了，养猫可以，但是结婚后就要考虑很多事情，再只顾虑自己就真的是自私了。其实这男的就应该和女方说清楚，真的没法接受就别处了。而不是网上来求助,对啊。明明是三观不一致，偏偏硬要分个三六九，讲真不养猫狗的人不懂这些不是很正常吗。我妈也觉得猫狗随便养养就好了，这纯粹就只是观念问题啊，在我看来很正常啊，我只觉得评论很可怕，我是讨厌结婚啦。但是微博上这种女人结婚就是失败，在家生孩子带孩子就是失败的观念到底是咋想的",Different
1,"白人的美洲移民及日本移民东北的开拓团也是类似性质的侵略集团。扩张战争是国家组织导的种族扩张，而大规模移民则是自发的，潜意识的种族扩张。其结果同样是占领新的土地，繁衍自己的人口，摧毁别人的文明，扩张自己的文明。黑绿移民潮，所做的事和纳粹德国并没有区别。甚至不费一枪一弹。,是的。一个哺乳动物，想生育不是本能吗？况且生育是男女共同的责任，涉及养老、经济、民族生存与扩张。欧洲就是只强调个人的权利而反对一切集体加诸个人的责任。,我爱中国女性。创造人口是整个民族所有个体的责任，不分男女。无论是从养老的角度，经济可持续发展的角度，还是从族群扩张的角度。我只是反对女权当中的逆向民族主义倾向。就类似于欧洲的，只要权利不要责任，一边反婚反育，一边反对养老金改革，一边诅咒老年人快点死。必然造成黑绿种族入侵，文明崩塌",0,"白人的美洲移民及日本移民东北的开拓团也是类似性质的侵略集团。扩张战争是国家组织导的种族扩张，而大规模移民则是自发的，潜意识的种族扩张。其结果同样是占领新的土地，繁衍自己的人口，摧毁别人的文明，扩张自己的文明。黑绿移民潮，所做的事和纳粹德国并没有区别。甚至不费一枪一弹。,是的。一个哺乳动物，想生育不是本能吗？况且生育是男女共同的责任，涉及养老、经济、民族生存与扩张。欧洲就是只强调个人的权利而反对一切集体加诸个人的责任。,我爱中国女性。创造人口是整个民族所有个体的责任，不分男女。无论是从养老的角度，经济可持续发展的角度，还是从族群扩张的角度。我只是反对女权当中的逆向民族主义倾向。就类似于欧洲的，只要权利不要责任，一边反婚反育，一边反对养老金改革，一边诅咒老年人快点死。必然造成黑绿种族入侵，文明崩塌",Different
0,因为女性经常处于弱势地位所以才有额外保护啊。不过我觉得中国最不平等的一个就是彩礼文化，还有男方买房文化。自己物化自己,1,因为女性经常处于弱势地位所以才有额外保护啊。不过我觉得中国最不平等的一个就是彩礼文化，还有男方买房文化。自己物化自己,Different
0,完全同意，不让自己爱上就没有活下去的理由，但是又是强迫自己爱上这个令人作呕的男人。这个强迫背后的恨与痛苦，和不得已的爱才会造成星星情绪的反复不定和精神的纹乱！归根到底，都是鲍某精心设计，私欲发泄，权利控制的结果！,1,完全同意，不让自己爱上就没有活下去的理由，但是又是强迫自己爱上这个令人作呕的男人。这个强迫背后的恨与痛苦，和不得已的爱才会造成星星情绪的反复不定和精神的纹乱！归根到底，都是鲍某精心设计，私欲发泄，权利控制的结果！,Different
0,"男女不平等的根本确实是女性先天的生理性弱势导致的，真正意义上的平等也确实不可能，那就意味着要有一方为此承担更多。突然想到了红色药丸，说到底还是掌权者的问题……他们没有承担该承担的，于是压力施加在了整个男性群体身上，这种不满大概也是导致性别歧视的一个问题,看到一条评论说，在一方明显强于另一方的情况下，跳出来说要平等，不觉得这种中立很搞笑吗。我是真的觉得有点搞笑",1,"男女不平等的根本确实是女性先天的生理性弱势导致的，真正意义上的平等也确实不可能，那就意味着要有一方为此承担更多。突然想到了红色药丸，说到底还是掌权者的问题……他们没有承担该承担的，于是压力施加在了整个男性群体身上，这种不满大概也是导致性别歧视的一个问题,看到一条评论说，在一方明显强于另一方的情况下，跳出来说要平等，不觉得这种中立很搞笑吗。我是真的觉得有点搞笑",Different
1,对于女性在工作生活中受到的歧视，我想大部分人都会给予谴责， 可问题是现在所谓的“平权”，更像是msl一般，温和的女权希望可以通过理智的方式让大众支持女性平权，问题是激进极端的田园女权，它们希望“不平等”到“平等”再到“特权”，,0,对于女性在工作生活中受到的歧视，我想大部分人都会给予谴责， 可问题是现在所谓的“平权”，更像是msl一般，温和的女权希望可以通过理智的方式让大众支持女性平权，问题是激进极端的田园女权，它们希望“不平等”到“平等”再到“特权”，,Different
1,"正因为不是爱情才弥足珍贵吧，多少还是有点出自这么个想法,去掉男女偏见歧视这些东西，能互相理解在我这里是第一位，所以写的足够好，足够真，就和性别无关了,女化，被当做受，是对某角色的一种低劣化，这观点出自于什么非常明显，还有像是很不zzzq的认为男性和男性的感情更高更真，只有男性才能配得上男性，这样的，特明显的男尊女卑思想，不过也有就是男性和女性之间必不可能相互理解这个没那么那啥的原因在,对，我自己不行，当我自己被这些规定住时，当我被性别鄙夷时，我就又开始极端不适了，我是不打算谈恋爱也不打算结婚生子的，喜欢的东西有些是“男孩子喜欢的东西”（且我为此沾沾自喜，哈，对男性的尊崇由此可见一斑），所以我脑内继续着那一套男尊女卑，说着确实性别平等,正是因为我觉得女性不行，我才会对这些言论如此敏感，因为我，不愿被鄙视，不愿被视作下等，仅此而已,就我，应该算有点男权或者大男子主义？啊听起来挺奇怪也不太好形容但确实往里头分析真的是这样，我的恐男也是出自于这种脑内已经形成的男女的阶级制度，这种东西显然是很男性主义的。",0,"正因为不是爱情才弥足珍贵吧，多少还是有点出自这么个想法,去掉男女偏见歧视这些东西，能互相理解在我这里是第一位，所以写的足够好，足够真，就和性别无关了,女化，被当做受，是对某角色的一种低劣化，这观点出自于什么非常明显，还有像是很不zzzq的认为男性和男性的感情更高更真，只有男性才能配得上男性，这样的，特明显的男尊女卑思想，不过也有就是男性和女性之间必不可能相互理解这个没那么那啥的原因在,对，我自己不行，当我自己被这些规定住时，当我被性别鄙夷时，我就又开始极端不适了，我是不打算谈恋爱也不打算结婚生子的，喜欢的东西有些是“男孩子喜欢的东西”（且我为此沾沾自喜，哈，对男性的尊崇由此可见一斑），所以我脑内继续着那一套男尊女卑，说着确实性别平等,正是因为我觉得女性不行，我才会对这些言论如此敏感，因为我，不愿被鄙视，不愿被视作下等，仅此而已,就我，应该算有点男权或者大男子主义？啊听起来挺奇怪也不太好形容但确实往里头分析真的是这样，我的恐男也是出自于这种脑内已经形成的男女的阶级制度，这种东西显然是很男性主义的。",Different
0,"我也是女的，我支持女性维权，但事情都过去九年了，现在才告，难免让人怀疑那女的意图，被人利用，还是其他原因就不知道了，毕竟她当初是接受私下和解的,看图片应该是你情我愿的，两人也许发生了关系，但是是不是强奸很难说，毕竟看有的文说那女的也经常出入夜店",1,"我也是女的，我支持女性维权，但事情都过去九年了，现在才告，难免让人怀疑那女的意图，被人利用，还是其他原因就不知道了，毕竟她当初是接受私下和解的,看图片应该是你情我愿的，两人也许发生了关系，但是是不是强奸很难说，毕竟看有的文说那女的也经常出入夜店",Different
1,"就是说对女权毫无益处，不能等同于女权。,平权本质是男权，是通过婚姻子宫和男权换一杯羹。",0,"就是说对女权毫无益处，不能等同于女权。,平权本质是男权，是通过婚姻子宫和男权换一杯羹。",Different
1,平权就是夫权，一半我不许我老公占我便宜，一半我老公不能吃亏。一半妻权一半男权,0,平权就是夫权，一半我不许我老公占我便宜，一半我老公不能吃亏。一半妻权一半男权,Different
1,看了这么多的大鼎，我只对越来越多的女人感到失望、讨厌和些许的绝望。能不能多发一些优秀的女人，多说一说她们的战绩，能给我的生活多带来光明和希望。,0,看了这么多的大鼎，我只对越来越多的女人感到失望、讨厌和些许的绝望。能不能多发一些优秀的女人，多说一说她们的战绩，能给我的生活多带来光明和希望。,Different
1,我也赞成对女权运动要引导，并且对LGBT运动也要以引导为主，争取一切可争取的人，尽可能地孤立大资产阶级,0,我也赞成对女权运动要引导，并且对LGBT运动也要以引导为主，争取一切可争取的人，尽可能地孤立大资产阶级,Different
1,，人类喜欢拿性开玩笑，例如异性同事或朋友之间，相互关系非常熟络，在异性屁股上捏一把，在异性脸蛋上亲一口等，不会引起对方强烈反感，不会有强烈的羞耻感，也不会造成社会对异性的人格评价下降，不应按违法对待。但开玩笑过了头，例如有的地方突破底线的婚闹，就属于猥亵违法或犯罪了。,0,，人类喜欢拿性开玩笑，例如异性同事或朋友之间，相互关系非常熟络，在异性屁股上捏一把，在异性脸蛋上亲一口等，不会引起对方强烈反感，不会有强烈的羞耻感，也不会造成社会对异性的人格评价下降，不应按违法对待。但开玩笑过了头，例如有的地方突破底线的婚闹，就属于猥亵违法或犯罪了。,Different
1,"鲍狗是带着目的性的去诱骗女孩   选择好下手的女孩  真的好痛心   赤裸裸的摧毁一个女孩的所有   我想要司法的公正  还女孩一个公道,毁了一个女孩的一生",0,"鲍狗是带着目的性的去诱骗女孩   选择好下手的女孩  真的好痛心   赤裸裸的摧毁一个女孩的所有   我想要司法的公正  还女孩一个公道,毁了一个女孩的一生",Different
1,就我身边的例子，我妈兄妹4个除了她都离婚了，离婚原因分别为：男方出轨、男方重男轻女（两个都是女儿受不了）、男方赌博。我妈过得也不咋滴，巴不得她离婚。想改变人生吗，结婚吧。,0,就我身边的例子，我妈兄妹4个除了她都离婚了，离婚原因分别为：男方出轨、男方重男轻女（两个都是女儿受不了）、男方赌博。我妈过得也不咋滴，巴不得她离婚。想改变人生吗，结婚吧。,Different
1,其实他那话是让女人都找富二代，不然普通人家哪有可能嫁过去吃香的喝辣的衣食无忧？,0,其实他那话是让女人都找富二代，不然普通人家哪有可能嫁过去吃香的喝辣的衣食无忧？,Different
1,权利，责任，客观生理条件，不能同时兼顾的，就是田园女权吧。,0,权利，责任，客观生理条件，不能同时兼顾的，就是田园女权吧。,Different
1,我一直不懂女权跟平权有啥区别，难道是按照骂人来区分的吗,0,我一直不懂女权跟平权有啥区别，难道是按照骂人来区分的吗,Different
1,变革是不现实的，本来这些事也没有规定，就很难说去变革什么的，想改变所有人的观念太困难了，中国有那么多地方连义务教育都覆盖不到，女权主义很多时候就是女性自己的口号，自己激励自己,0,变革是不现实的，本来这些事也没有规定，就很难说去变革什么的，想改变所有人的观念太困难了，中国有那么多地方连义务教育都覆盖不到，女权主义很多时候就是女性自己的口号，自己激励自己,Different
1,"我知道你想说凶杀案的受害者里男性占百分之七十，但是麻烦看看其他案件。凶杀案只是恶性案件里的一小部分。,男性未来会比女性多3000万您知道吧？那少了的3000哇女性去哪儿了呢？",0,"我知道你想说凶杀案的受害者里男性占百分之七十，但是麻烦看看其他案件。凶杀案只是恶性案件里的一小部分。,男性未来会比女性多3000万您知道吧？那少了的3000哇女性去哪儿了呢？",Different
1,我觉得女拳快要来打博主了，准备好锅盖吧,0,我觉得女拳快要来打博主了，准备好锅盖吧,Different
1,虽然是这样说，普通女孩子的社交能力有限，好男人就那么两成，不肯将就拉低生活质量，最后只有自己扛。自己养活自己好过还要供养家庭里的老公孩子公婆。有时候是不得不显得女权。有合作伙伴谁不要呢？,0,虽然是这样说，普通女孩子的社交能力有限，好男人就那么两成，不肯将就拉低生活质量，最后只有自己扛。自己养活自己好过还要供养家庭里的老公孩子公婆。有时候是不得不显得女权。有合作伙伴谁不要呢？,Different
1,不要再说什么古代宽容了，古代的同性恋依旧是娶妻生子，同性恋只是一种爱好，异性恋和同性恋根本不在一个层面上。对爱好当然宽容。,0,不要再说什么古代宽容了，古代的同性恋依旧是娶妻生子，同性恋只是一种爱好，异性恋和同性恋根本不在一个层面上。对爱好当然宽容。,Different
1,感觉国内以前女权也是和爱国和劳动捆绑在一起，也不知道微博女权怎么搞着搞着开始仇男，鼓励鼓励女性不婚不育去了……,0,感觉国内以前女权也是和爱国和劳动捆绑在一起，也不知道微博女权怎么搞着搞着开始仇男，鼓励鼓励女性不婚不育去了……,Different
1,鲍真正付出的也只有金钱吧，不过那些钱对他来说肯定不算什么。他深谙父权社会的社会规则、善于控制，才会用对他来说微小的钱以及他拥有的社会特权来操纵一个十四岁的女孩和她的家庭。,0,鲍真正付出的也只有金钱吧，不过那些钱对他来说肯定不算什么。他深谙父权社会的社会规则、善于控制，才会用对他来说微小的钱以及他拥有的社会特权来操纵一个十四岁的女孩和她的家庭。,Different
1,"所以为什么不让婚女站在我们这边呢？,婆婆还杀媳妇呢，婆婆不是女人？",0,"所以为什么不让婚女站在我们这边呢？,婆婆还杀媳妇呢，婆婆不是女人？",Different
1,"是~所以当初那个万转微博妈妈离婚争取冠姓权这个我太诧异大家居然觉得妈妈不对，这是个人选择，争取自己想要的应得的权益罢了,我是因为看到首页有妹子在讨论，说极端女权不可取什么什么的，给粉丝洗脑，粉丝给当圣经膜拜，但是我真没觉得极端，所以才觉得太苛刻了，个人感受说那几句话有什么过分的，还不是主要骂的男人",0,"是~所以当初那个万转微博妈妈离婚争取冠姓权这个我太诧异大家居然觉得妈妈不对，这是个人选择，争取自己想要的应得的权益罢了,我是因为看到首页有妹子在讨论，说极端女权不可取什么什么的，给粉丝洗脑，粉丝给当圣经膜拜，但是我真没觉得极端，所以才觉得太苛刻了，个人感受说那几句话有什么过分的，还不是主要骂的男人",Different
1,拜金荡妇田园女权尽管贴我身上    我不吃这一套,0,拜金荡妇田园女权尽管贴我身上    我不吃这一套,Different
1,试问谁不想当女权头子独揽沙特320亿美金资产,0,试问谁不想当女权头子独揽沙特320亿美金资产,Different
1,哈哈哈哈哈哈哈 笑死我了 还有和杨菊花八字不合梗🙊,0,哈哈哈哈哈哈哈 笑死我了 还有和杨菊花八字不合梗🙊,Different
1,我觉得西方比较好的是可以看到很多爸爸带娃，而不是国内普遍的丧偶式育儿。,0,我觉得西方比较好的是可以看到很多爸爸带娃，而不是国内普遍的丧偶式育儿。,Different
1,不是不信她，但好歹有个逻辑啊…一句你信我你信我，很牵强，觉得主持人问得挺对，为什么现在要让人相信她？（本人不站任何变态的队，请喷子口下积德）,0,不是不信她，但好歹有个逻辑啊…一句你信我你信我，很牵强，觉得主持人问得挺对，为什么现在要让人相信她？（本人不站任何变态的队，请喷子口下积德）,Different
1,"别人喜欢怎么说就怎么说吧，看过就算了，不记心，反正不是自己的。,不是吧，你之前认为他是个好东西吗？感觉一直都觉得是跟一般的有钱男性一样，这种人就算结婚生孩后也会去搞其他女人，这个现象很正常。或者说是意料之事，只是在什么时间点被揭发而已。",0,"别人喜欢怎么说就怎么说吧，看过就算了，不记心，反正不是自己的。,不是吧，你之前认为他是个好东西吗？感觉一直都觉得是跟一般的有钱男性一样，这种人就算结婚生孩后也会去搞其他女人，这个现象很正常。或者说是意料之事，只是在什么时间点被揭发而已。",Different
1,某田园女权要求女性买房打七折，原因女性很累很苦,0,某田园女权要求女性买房打七折，原因女性很累很苦,Different
1,"这就取决于，夫妻双方的存款。所以，我很庆幸，我有这个权利选择阿姨在白天带，晚上我自己。我和我先生都很享受这样的三口之家。,这话我不大赞同…。爸爸不带是爸爸的错，婆婆不带不一定是婆婆的错。人家也没有义务带孙子孙女。我还是觉得孩子最好不要婆婆或者妈妈来带。除非她们育儿理念和你相同。婆婆和媳妇还是有点距离，相敬如宾比较幸福",0,"这就取决于，夫妻双方的存款。所以，我很庆幸，我有这个权利选择阿姨在白天带，晚上我自己。我和我先生都很享受这样的三口之家。,这话我不大赞同…。爸爸不带是爸爸的错，婆婆不带不一定是婆婆的错。人家也没有义务带孙子孙女。我还是觉得孩子最好不要婆婆或者妈妈来带。除非她们育儿理念和你相同。婆婆和媳妇还是有点距离，相敬如宾比较幸福",Different
1,划重点   刘强东在车上就想车震，司机熟视无睹，看来表面兄弟刘强东不是第一次干这个事，后来在寓所强行发生性行为，并且在被害人腹部及床单射精，   后女生报警，被抓时只穿了T恤衫，裤子还是警察给他穿的,0,划重点   刘强东在车上就想车震，司机熟视无睹，看来表面兄弟刘强东不是第一次干这个事，后来在寓所强行发生性行为，并且在被害人腹部及床单射精，   后女生报警，被抓时只穿了T恤衫，裤子还是警察给他穿的,Different
1,分享一下另一面的被凝视吧：从小并不符合主流审美，所有学术成绩或志向，都会被归结于stereotype的“果然不好看的女孩子自然是nerd呢”。渐渐会形成为了证明这个stereotype的错误性而鞭策自己屈于主流审美的压力。年纪大一些会意识到这同样是一个自我阉割的过程，但依旧时常感到束手无策。,0,分享一下另一面的被凝视吧：从小并不符合主流审美，所有学术成绩或志向，都会被归结于stereotype的“果然不好看的女孩子自然是nerd呢”。渐渐会形成为了证明这个stereotype的错误性而鞭策自己屈于主流审美的压力。年纪大一些会意识到这同样是一个自我阉割的过程，但依旧时常感到束手无策。,Different
1,另外，我希望一些男性不要隔空对打田园女权，等存在的时候你再打也不迟。,0,另外，我希望一些男性不要隔空对打田园女权，等存在的时候你再打也不迟。,Different
0,爱是爱我了！但精神控制言语辱骂从不离口！等以后让她亲亲儿子养她吧！,1,爱是爱我了！但精神控制言语辱骂从不离口！等以后让她亲亲儿子养她吧！,Different
1,你不知道男人的压力，跟了妈姓，入赘还好那没话讲，关键是花钱娶回来，我记得我们这边一男的因为孩子跟妈姓被父母斥责家里没后了，外面有女的嘲笑他说孩子都不是自己的，，结果自杀了，后来他老婆跟了别人，一个人就这么没了，没有后代，收尸都是老母亲收的，,0,你不知道男人的压力，跟了妈姓，入赘还好那没话讲，关键是花钱娶回来，我记得我们这边一男的因为孩子跟妈姓被父母斥责家里没后了，外面有女的嘲笑他说孩子都不是自己的，，结果自杀了，后来他老婆跟了别人，一个人就这么没了，没有后代，收尸都是老母亲收的，,Different
1,看那个关于孩子随母姓的街头采访，不就有位男士说“为什么要养一个外姓孩子”，这点上男人看的太清楚了，女人甚至都没意识到自己在养外姓崽,0,看那个关于孩子随母姓的街头采访，不就有位男士说“为什么要养一个外姓孩子”，这点上男人看的太清楚了，女人甚至都没意识到自己在养外姓崽,Different
1,女星也不想魔鬼被惩治，因为这样潜规则上位这条路就行不通了。,0,女星也不想魔鬼被惩治，因为这样潜规则上位这条路就行不通了。,Different
0,得了吧，他儿子女儿都出来指控他，他也确实娶了养女，他的案子相关信息我也看过，我没法相信他没有恋 童 癖。至于TC你让他一个新人男演员怎么搞，不像其他人一样严厉指责你就给你留点面子了。现在还嘴硬，怪别人不站在你这边，就是不肯承认自己的失败是由于自己干了错事罢了。,1,得了吧，他儿子女儿都出来指控他，他也确实娶了养女，他的案子相关信息我也看过，我没法相信他没有恋 童 癖。至于TC你让他一个新人男演员怎么搞，不像其他人一样严厉指责你就给你留点面子了。现在还嘴硬，怪别人不站在你这边，就是不肯承认自己的失败是由于自己干了错事罢了。,Different
1,确实够恐怖，参与其中的男女老少会把在他们看来“父权”的概念视为愚昧、落后、野蛮而进行全方面的灭绝和毁灭，就像种族屠杀一样，但这只是说明历史上思潮对立引起的血腥和残忍在不同时期会以不同的形式重演。,0,确实够恐怖，参与其中的男女老少会把在他们看来“父权”的概念视为愚昧、落后、野蛮而进行全方面的灭绝和毁灭，就像种族屠杀一样，但这只是说明历史上思潮对立引起的血腥和残忍在不同时期会以不同的形式重演。,Different
1,连作为一个人的权利都被剥夺了，还女权？这种应该立法处罚啊，罚得很了就不敢了，未成年只能依赖家里了,0,连作为一个人的权利都被剥夺了，还女权？这种应该立法处罚啊，罚得很了就不敢了，未成年只能依赖家里了,Different
