MaleLabel,text,FemaleLabel,text,LabelComparison
1,这个人哪个非洲国家的？,0,这个人哪个非洲国家的？,Different
0,本来就要征服，哪有靠舔的,1,本来就要征服，哪有靠舔的,Different
0,我还是觉得保加利亚妖王顺眼多了,1,我还是觉得保加利亚妖王顺眼多了,Different
0,如下，一击脱离是真的给异性恋当成武器了，可怜至极,1,如下，一击脱离是真的给异性恋当成武器了，可怜至极,Different
0,一群内斗的??在划分地域 来互相攻击,1,一群内斗的??在划分地域 来互相攻击,Different
0,您如此高傲的挑衅全体人民的行为可真是让人始料未及呢,1,您如此高傲的挑衅全体人民的行为可真是让人始料未及呢,Different
0,给大家看看他是如何在背后阴阳怪气说我们,1,给大家看看他是如何在背后阴阳怪气说我们,Different
0,人家把你弄舒服了你还告他，这750万就当作营养费,1,人家把你弄舒服了你还告他，这750万就当作营养费,Different
1,世界卫生组织周三建议男同性恋者及双性恋男性限制其性伴侣的数量，以避免自身感染猴痘及帮助降低该病毒的传播速度。世卫组织猴痘专家罗莎蒙德·刘易斯表示，男男性行为群体目前有着最高的猴痘病毒感染率。目前的感染案例中，有99%的感染者为男性，这些患者中又有95%发生过男男性行为。,0,世界卫生组织周三建议男同性恋者及双性恋男性限制其性伴侣的数量，以避免自身感染猴痘及帮助降低该病毒的传播速度。世卫组织猴痘专家罗莎蒙德·刘易斯表示，男男性行为群体目前有着最高的猴痘病毒感染率。目前的感染案例中，有99%的感染者为男性，这些患者中又有95%发生过男男性行为。,Different
1,“中国特色地域歧视”，河南和东北数一数二严重的吧，基本是被压着骂，你有一个反击十个人骂回来，真的羡慕互黑的。。。,0,“中国特色地域歧视”，河南和东北数一数二严重的吧，基本是被压着骂，你有一个反击十个人骂回来，真的羡慕互黑的。。。,Different
0,这算啥啊，有的人喷就就喷呗，喷了又不对喷，直接拉黑，有够搞笑的,1,这算啥啊，有的人喷就就喷呗，喷了又不对喷，直接拉黑，有够搞笑的,Different
1,山东一旦被黑就是两性问题😅,0,山东一旦被黑就是两性问题😅,Different
0,笑死我了，少说一句不会死，发个帖也不会长命百岁,1,笑死我了，少说一句不会死，发个帖也不会长命百岁,Different
0,这女的也太肤浅了,1,这女的也太肤浅了,Different
1,还没影响到啊😓，同性才是真爱，异性只为繁衍是谁说的？😓,0,还没影响到啊😓，同性才是真爱，异性只为繁衍是谁说的？😓,Different
0,一眼丁真，能不玩这种p图恶搞了吗，整点正能量的,1,一眼丁真，能不玩这种p图恶搞了吗，整点正能量的,Different
0,怼女拳的角度多了图里这位说的跟你说的没有冲突,1,怼女拳的角度多了图里这位说的跟你说的没有冲突,Different
0,据说这是极端女权,1,据说这是极端女权,Different
1,我是四川人，当初我的舍友怀疑我是小偷,0,我是四川人，当初我的舍友怀疑我是小偷,Different
1,黑色不符合中国人的审美观！！！,0,黑色不符合中国人的审美观！！！,Different
0,所以你就黑上海😅,1,所以你就黑上海😅,Different
0,吃饭也是人的弱点，要不咱饭也别吃了？,1,吃饭也是人的弱点，要不咱饭也别吃了？,Different
1,我怕得病😅真的怕,0,我怕得病😅真的怕,Different
1,如果妹子嫁给黑人也可以要求买房买车要彩礼🐶,0,如果妹子嫁给黑人也可以要求买房买车要彩礼🐶,Different
0,第7条很逗逼😄,1,第7条很逗逼😄,Different
0,尬黑，意思是韩女正常哺乳都不行吗？,1,尬黑，意思是韩女正常哺乳都不行吗？,Different
1,歧视的不是东北这块地方，是一部分东北人吧，我认识一个山东的不喜欢东北的，我还很奇怪山东东北不是一家亲吗,0,歧视的不是东北这块地方，是一部分东北人吧，我认识一个山东的不喜欢东北的，我还很奇怪山东东北不是一家亲吗,Different
0,说🐔不说8，文明你我他,1,说🐔不说8，文明你我他,Different
1,作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱逼逼你逼逼，关我屁事。,0,作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱逼逼你逼逼，关我屁事。,Different
1,可怕的是、明明两个上海人在公司用上海话聊天、会被其他人举报说这两个人在偷偷骂他。,0,可怕的是、明明两个上海人在公司用上海话聊天、会被其他人举报说这两个人在偷偷骂他。,Different
1,但是上海确实排外歧视很严重啊:-|,0,但是上海确实排外歧视很严重啊:-|,Different
0,我是女的，大哥。在学校里真没见过女生跟黑人一起的。大部分人都是普普通通来上学的，想法跟我差不多的，现实生活中真的没那么多媚黑女😅。跟同学们去体育中心游泳（游泳必考），来了几个黑人在我们这个泳道游，然后我们赶紧躲到其他泳道去了。,1,我是女的，大哥。在学校里真没见过女生跟黑人一起的。大部分人都是普普通通来上学的，想法跟我差不多的，现实生活中真的没那么多媚黑女😅。跟同学们去体育中心游泳（游泳必考），来了几个黑人在我们这个泳道游，然后我们赶紧躲到其他泳道去了。,Different
0,南京人民表示，用历史来嘲讽南京人民的不在少数，最近这事也一样。而且说的都是胡扯的。,1,南京人民表示，用历史来嘲讽南京人民的不在少数，最近这事也一样。而且说的都是胡扯的。,Different
1,嗨嗨嗨😆黑北京的哪有黑上海的多😎,0,嗨嗨嗨😆黑北京的哪有黑上海的多😎,Different
1,朋友说河南人偷井盖很正常,0,朋友说河南人偷井盖很正常,Different
1,你凭什么假定这位男士的x别？你怎么知道他不是生理上的男x，心理上的女x。照这么说的话，她应该是通讯录才对。,0,你凭什么假定这位男士的x别？你怎么知道他不是生理上的男x，心理上的女x。照这么说的话，她应该是通讯录才对。,Different
0,有人说莫言笔下的“高密”是文学意义上的“高密”，是托乡土言情怀的“高密”……好嘛，那我们讨论一个反进步反文明的“莫言”又与他何干呢？,1,有人说莫言笔下的“高密”是文学意义上的“高密”，是托乡土言情怀的“高密”……好嘛，那我们讨论一个反进步反文明的“莫言”又与他何干呢？,Different
1,卫辉怎么黑的山东忘了？,0,卫辉怎么黑的山东忘了？,Different
1,吴施蒙了解一下，山东大学三陪一的异性学伴了解一下🐶,0,吴施蒙了解一下，山东大学三陪一的异性学伴了解一下🐶,Different
0,破坏中非友谊，把你抓起来,1,破坏中非友谊，把你抓起来,Different
0,有几个东北人吹张是英雄的😓😓至于你这么黑吗😓😓,1,有几个东北人吹张是英雄的😓😓至于你这么黑吗😓😓,Different
0,魔怔人还是要早点拉黑,1,魔怔人还是要早点拉黑,Different
0,先自己调查下好吧，南方系更多好像说的是广东，而且这也是实话，南方系媒体系统性BBC操作还少吗？你一个南方老百姓跟着他们冲锋陷阵啥？大家都是普通老百姓没必要。,1,先自己调查下好吧，南方系更多好像说的是广东，而且这也是实话，南方系媒体系统性BBC操作还少吗？你一个南方老百姓跟着他们冲锋陷阵啥？大家都是普通老百姓没必要。,Different
0,哎，只可惜无良媒体竟然还用做他女朋友令人羡慕来形容,1,哎，只可惜无良媒体竟然还用做他女朋友令人羡慕来形容,Different
0,我就是女的，我讨厌杨笠,1,我就是女的，我讨厌杨笠,Different
0,很讨厌他们学校,1,很讨厌他们学校,Different
1,因为电脑不会生孩子警告，也不会要这要那还说你坏话,0,因为电脑不会生孩子警告，也不会要这要那还说你坏话,Different
0,批站，翻墙看,1,批站，翻墙看,Different
0,中国男性外娶，九成九都是东亚或者东南亚的亚裔人种。还得跟这群非洲印度来者不拒的比？？？,1,中国男性外娶，九成九都是东亚或者东南亚的亚裔人种。还得跟这群非洲印度来者不拒的比？？？,Different
1,河南担吗😆,0,河南担吗😆,Different
0,是一部分带坏一部分，清醒的还是有的！但怎么也比不上教员那时“妇女能顶半边天”时期的妇女,1,是一部分带坏一部分，清醒的还是有的！但怎么也比不上教员那时“妇女能顶半边天”时期的妇女,Different
0,珍爱生命远离幕刃,1,珍爱生命远离幕刃,Different
0,不是很狂么？怎么着歇菜了？换马甲了？,1,不是很狂么？怎么着歇菜了？换马甲了？,Different
1,和东北比，河南被地域黑不算严重,0,和东北比，河南被地域黑不算严重,Different
1,我们应该联系男权吧，就算大男子主义再怎么样也应该不会支持男同，更别说女同了,0,我们应该联系男权吧，就算大男子主义再怎么样也应该不会支持男同，更别说女同了,Different
1,笑死了，东北宇宙,0,笑死了，东北宇宙,Different
0,拳师正在反思中……,1,拳师正在反思中……,Different
0,我是觉得库里真不错。整个NBA没有几个不逛夜店的，然而库里洁身自好，这条件仍然只爱他老婆一人。谁能嫁给库里肯定不算EZ,1,我是觉得库里真不错。整个NBA没有几个不逛夜店的，然而库里洁身自好，这条件仍然只爱他老婆一人。谁能嫁给库里肯定不算EZ,Different
1,什么法西斯,0,什么法西斯,Different
0,你闹你有理，破坏公序良俗的代价，迟早会还回去的,1,你闹你有理，破坏公序良俗的代价，迟早会还回去的,Different
1,嗯，马上就有人说河南人偷井盖了。,0,嗯，马上就有人说河南人偷井盖了。,Different
0,在东北上学，对这里普遍印象很好，但一部分群体，莫名的有种害怕？就是犯病起来特别跳，一点不顺心就不考虑别人怎么想的，咋咋呼呼的，整天把弄你放在嘴边😅还有一起打游戏，他总是那个主动挑衅对面，说自己人的，偶尔遇到回怼就是一场骂战，说实话和这种人做室友，虽然关系不错，应有的室友感情也可以看出来他的投入，但是总有一种莫名的头大。这种外放式情感起伏，加上有些时候说的话可太让人不适了,1,在东北上学，对这里普遍印象很好，但一部分群体，莫名的有种害怕？就是犯病起来特别跳，一点不顺心就不考虑别人怎么想的，咋咋呼呼的，整天把弄你放在嘴边😅还有一起打游戏，他总是那个主动挑衅对面，说自己人的，偶尔遇到回怼就是一场骂战，说实话和这种人做室友，虽然关系不错，应有的室友感情也可以看出来他的投入，但是总有一种莫名的头大。这种外放式情感起伏，加上有些时候说的话可太让人不适了,Different
0,哈哈啊哈哈哈，世界的笑柄,1,哈哈啊哈哈哈，世界的笑柄,Different
1,河南，东北，山东，地域黑重灾区……,0,河南，东北，山东，地域黑重灾区……,Different
0,看来非洲真是未来人口增长的主动力。,1,看来非洲真是未来人口增长的主动力。,Different
1,男同也会喜欢熊类，男人的身体魅力好不好只有正常的女人才知道,0,男同也会喜欢熊类，男人的身体魅力好不好只有正常的女人才知道,Different
1,你在知乎和今日头条多搜搜河南为什么被黑这类问题，然后就会给你推荐类似问题。然后你就不会觉得委屈了😂😂😂！河南仍然是地域黑的最大目标！,0,你在知乎和今日头条多搜搜河南为什么被黑这类问题，然后就会给你推荐类似问题。然后你就不会觉得委屈了😂😂😂！河南仍然是地域黑的最大目标！,Different
1,听说艾滋病可以潜伏好几年，评论区的可以撤退了🤣🤣🤣不害怕吗,0,听说艾滋病可以潜伏好几年，评论区的可以撤退了🤣🤣🤣不害怕吗,Different
0,跟你一样的想法，感觉这个答主故作清高，自以为是。总以为自己的眼界就是世界，十分狭隘。还来一句骂人无所谓。,1,跟你一样的想法，感觉这个答主故作清高，自以为是。总以为自己的眼界就是世界，十分狭隘。还来一句骂人无所谓。,Different
1,谁给东北招黑了我不说，但我们辽宁人不应该替某省背黑锅,0,谁给东北招黑了我不说，但我们辽宁人不应该替某省背黑锅,Different
1,唉，这里的人，这里的评论，在这里性别是女就是错误,0,唉，这里的人，这里的评论，在这里性别是女就是错误,Different
0,关键是这男的他爸还支持？,1,关键是这男的他爸还支持？,Different
0,骂人拉黑一气呵成，吃了益达都没你快😓,1,骂人拉黑一气呵成，吃了益达都没你快😓,Different
0,别在这自艾自怜了，我都不理解你怎么会有这种想法，人是否被人瞧得起是自己说了算的，我二十岁从黑龙江出来 走南闯北现在二十年了，我从来没觉得有人瞧不起我，行得正坐得直，气场杠杠滴，在哪老子都不是配角儿，谁敢瞧不起我。 只要人品正直，不做让人那把柄的事儿，不吹牛不装逼。天王老子也不怕！😎,1,别在这自艾自怜了，我都不理解你怎么会有这种想法，人是否被人瞧得起是自己说了算的，我二十岁从黑龙江出来 走南闯北现在二十年了，我从来没觉得有人瞧不起我，行得正坐得直，气场杠杠滴，在哪老子都不是配角儿，谁敢瞧不起我。 只要人品正直，不做让人那把柄的事儿，不吹牛不装逼。天王老子也不怕！😎,Different
0,你们才四波啊，俺们某北是与天下为敌啊。,1,你们才四波啊，俺们某北是与天下为敌啊。,Different
0,哈哈 是的 我妈农村妇女没见过世面 最黑的就只见过云南那边嫁过来的 莫怪哈,1,哈哈 是的 我妈农村妇女没见过世面 最黑的就只见过云南那边嫁过来的 莫怪哈,Different
1,当当当，请问毫无存在感的吉林可以说话吗？,0,当当当，请问毫无存在感的吉林可以说话吗？,Different
0,哈哈哈，作为人的最基本权利？给我整笑了,1,哈哈哈，作为人的最基本权利？给我整笑了,Different
1,地域黑比较典型的几个，按大区域东北被黑，按省河南被黑，二线城市武汉被黑，一线城市广州被黑🤣,0,地域黑比较典型的几个，按大区域东北被黑，按省河南被黑，二线城市武汉被黑，一线城市广州被黑🤣,Different
0,这是女的，我还以为是个男人,1,这是女的，我还以为是个男人,Different
1,答主你好，我说一些可能大家不太注意的地方。知乎上有些装汉反左，装左反汉，装东北人黑南方，装南方黑东北人，装东北人暗捧伪满洲国，故意把东北称为（伪）满洲，拐弯抹角暗地里鼓吹东北独立。无一例外，它们的动态里都暴露出自我代入鞑清立场的共同点。这不是巧合。东北同胞一定要警惕这些人，不要让这些自我代入清朝立场的人代表东北。,0,答主你好，我说一些可能大家不太注意的地方。知乎上有些装汉反左，装左反汉，装东北人黑南方，装南方黑东北人，装东北人暗捧伪满洲国，故意把东北称为（伪）满洲，拐弯抹角暗地里鼓吹东北独立。无一例外，它们的动态里都暴露出自我代入鞑清立场的共同点。这不是巧合。东北同胞一定要警惕这些人，不要让这些自我代入清朝立场的人代表东北。,Different
1,我们人人祖传18代偷井盖，上古时期就开始了，井盖都是我们发明的，不然不好解释怎么上古时期开始的。,0,我们人人祖传18代偷井盖，上古时期就开始了，井盖都是我们发明的，不然不好解释怎么上古时期开始的。,Different
1,没有同性恋基因的人是不可能被掰弯的，就像同性恋没办法变成异性恋一样,0,没有同性恋基因的人是不可能被掰弯的，就像同性恋没办法变成异性恋一样,Different
1,责任最大的显然不是国女，但只能用省略号替代了。,0,责任最大的显然不是国女，但只能用省略号替代了。,Different
0,就是，特别国难时期拿着地域说事，对自己同胞冷嘲热讽落井下石的，坏透了,1,就是，特别国难时期拿着地域说事，对自己同胞冷嘲热讽落井下石的，坏透了,Different
1,我可没认可答主啊，我只是说女👊,0,我可没认可答主啊，我只是说女👊,Different
1,看到这张图，这是排列前十的少数民族和汉族的基因分布图。汉族基因基本一致，因为显性不同则可以再往下细分亚群，但主基因是极其相似的。其次是前十的少数民族与汉族接近。而与欧美、非洲有巨大的基因差异。历经千万年传承、朝代更迭、战争洗礼，让血脉传承到今天。以后看到有人以中国是文化认同来反驳的混血的，请有力的回击回去，汉不光是文化认同，也包含有血脉认同,0,看到这张图，这是排列前十的少数民族和汉族的基因分布图。汉族基因基本一致，因为显性不同则可以再往下细分亚群，但主基因是极其相似的。其次是前十的少数民族与汉族接近。而与欧美、非洲有巨大的基因差异。历经千万年传承、朝代更迭、战争洗礼，让血脉传承到今天。以后看到有人以中国是文化认同来反驳的混血的，请有力的回击回去，汉不光是文化认同，也包含有血脉认同,Different
0,别人骂你你都不反击呗，真乃高风亮节之人,1,别人骂你你都不反击呗，真乃高风亮节之人,Different
0,离谱的审美,1,离谱的审美,Different
1,深柜里的1很多,0,深柜里的1很多,Different
1,我怕有艾滋😓😓😓,0,我怕有艾滋😓😓😓,Different
1,河南的盖盖呗，还能有谁,0,河南的盖盖呗，还能有谁,Different
1,而这一切究其根源都来自犹太人鹰犬республиканскоеправительство对我过民祖进行凯乐奇Exterminationdesracesetdespeuples计划,0,而这一切究其根源都来自犹太人鹰犬республиканскоеправительство对我过民祖进行凯乐奇Exterminationdesracesetdespeuples计划,Different
0,你的逻辑思维不太够，第一句在理，第二句就傻了，图灵的行为确实违反了法律，但是处罚图灵的法律根本没有正义可言，所以第二条站不住，第三句更蠢图灵的死，跟迫害有直接关系，逼死了人工智能之父这种过错还能认为他不是被逼的？,1,你的逻辑思维不太够，第一句在理，第二句就傻了，图灵的行为确实违反了法律，但是处罚图灵的法律根本没有正义可言，所以第二条站不住，第三句更蠢图灵的死，跟迫害有直接关系，逼死了人工智能之父这种过错还能认为他不是被逼的？,Different
0,哈哈你看看自己说的是什么破玩意，先学学语文吧😆,1,哈哈你看看自己说的是什么破玩意，先学学语文吧😆,Different
1,可是上海被黑的最惨🤔,0,可是上海被黑的最惨🤔,Different
0,中国抗日时期特么最恨日本就是东北和四川了，这人学过历史吗,1,中国抗日时期特么最恨日本就是东北和四川了，这人学过历史吗,Different
1,为什么他始终无法正视自己的取向？如果他真不是gay拿怎么到现在都没发拿出证据？是不想拿吗？还是没有证据为什么空口无凭否认自己是gay？,0,为什么他始终无法正视自己的取向？如果他真不是gay拿怎么到现在都没发拿出证据？是不想拿吗？还是没有证据为什么空口无凭否认自己是gay？,Different
1,很多黑广东的ip也来自广东🤔,0,很多黑广东的ip也来自广东🤔,Different
0,被我们关爱得气急败坏，最后只有把头蒙上,1,被我们关爱得气急败坏，最后只有把头蒙上,Different
0,吊打蒋介石,1,吊打蒋介石,Different
0,张嘴就说别人骄傲，那我只能说你自己自卑了,1,张嘴就说别人骄傲，那我只能说你自己自卑了,Different
0,强求别人接受自己的观点、和自己不一样的观点肯定不存在，这个和同性恋其实没什么关系。这叫狭隘。,1,强求别人接受自己的观点、和自己不一样的观点肯定不存在，这个和同性恋其实没什么关系。这叫狭隘。,Different
1,问题是如果一个男的老光棍，别人又会认为是身心不正常的，反正怎么做都是错,0,问题是如果一个男的老光棍，别人又会认为是身心不正常的，反正怎么做都是错,Different
1,萝莉与正太同时穿上女装。你们就会惊呼多么纯洁可爱的两个女孩子啊！偶然小正太更漂亮可爱一些。人群浑然不知的更靠向小正太但当人们得知最漂亮的小女孩是男的之后他们就瞬间对他不感兴趣并在背后议论着没想到他竟然是个男的！我靠，伪娘真恶心小正太并不知道为什么人们对他的恶意那么大或许这就是男性的命运。男性不能去追求美的东西。不能变得可爱必须把尾巴藏在阴暗处。并且分类为伪娘跨性别的标签。小正太觉得自己并不是伪娘或跨性别者因为他只不过是在追求美可是医生会告诉他你就是性别障碍有女装癖。家长们会告诉他男人要有个男人样。同学们会排挤他于是他开始厌恶自己。厌恶自己的性别，厌恶自己的生殖器官。他把生殖器官视为上天给他枷锁他改变不了什么因为总有一些人知道他是男的之后就对他打上了肮脏下流性男的都一样的标签仿佛男性犯了滔天大罪或许吧。小正太剪去了他的长发脱下的只有古代男性才会穿的长裙他想不明白就算他明白了，他也无法让世人明白,0,萝莉与正太同时穿上女装。你们就会惊呼多么纯洁可爱的两个女孩子啊！偶然小正太更漂亮可爱一些。人群浑然不知的更靠向小正太但当人们得知最漂亮的小女孩是男的之后他们就瞬间对他不感兴趣并在背后议论着没想到他竟然是个男的！我靠，伪娘真恶心小正太并不知道为什么人们对他的恶意那么大或许这就是男性的命运。男性不能去追求美的东西。不能变得可爱必须把尾巴藏在阴暗处。并且分类为伪娘跨性别的标签。小正太觉得自己并不是伪娘或跨性别者因为他只不过是在追求美可是医生会告诉他你就是性别障碍有女装癖。家长们会告诉他男人要有个男人样。同学们会排挤他于是他开始厌恶自己。厌恶自己的性别，厌恶自己的生殖器官。他把生殖器官视为上天给他枷锁他改变不了什么因为总有一些人知道他是男的之后就对他打上了肮脏下流性男的都一样的标签仿佛男性犯了滔天大罪或许吧。小正太剪去了他的长发脱下的只有古代男性才会穿的长裙他想不明白就算他明白了，他也无法让世人明白,Different
1,我大学的时候确实被同班同学问：你们河南人是不是都偷井盖。还有我们室友说他爸以前开车都不敢路过河南。,0,我大学的时候确实被同班同学问：你们河南人是不是都偷井盖。还有我们室友说他爸以前开车都不敢路过河南。,Different
1,没有世界帮助，非洲还生活在原始社会。,0,没有世界帮助，非洲还生活在原始社会。,Different
0,吃草下奶还是好的，就怕吃草还不下奶,1,吃草下奶还是好的，就怕吃草还不下奶,Different
1,你去抖音弄个黑人身份，就会有女的私信你,0,你去抖音弄个黑人身份，就会有女的私信你,Different
0,只要冲上去舔的,1,只要冲上去舔的,Different
1,黑西安的只有洛阳人，但是黑河南的是河南四周好几个省,0,黑西安的只有洛阳人，但是黑河南的是河南四周好几个省,Different
1,在下也不太能接受。不过有一个问题，假如那姑娘被黑人给QJ了怎么算⁉俺觉得这种情况反而能接受了😅,0,在下也不太能接受。不过有一个问题，假如那姑娘被黑人给QJ了怎么算⁉俺觉得这种情况反而能接受了😅,Different
0,先射箭再画靶，把👴笑嘻了,1,先射箭再画靶，把👴笑嘻了,Different
1,又是某东北人到这里反串的吧🥰,0,又是某东北人到这里反串的吧🥰,Different
1,谁都能有自己的想法。我也更不会说什么txl才是真爱异性只为了繁殖。,0,谁都能有自己的想法。我也更不会说什么txl才是真爱异性只为了繁殖。,Different
1,哈哈哈～甘肃也很想和中国建交啊。但是TG不鸟。,0,哈哈哈～甘肃也很想和中国建交啊。但是TG不鸟。,Different
1,这不用王水洗,0,这不用王水洗,Different
0,今日头条，怀疑就是故意的，专门给你推送类似的话题，挑事,1,今日头条，怀疑就是故意的，专门给你推送类似的话题，挑事,Different
1,四川被东部沿海歧视的比较多，其他的都还好（我觉得我作为一个四川人似乎除了去长三角最东边那个超级城市被歧视过之外一直挺受欢迎来着）,0,四川被东部沿海歧视的比较多，其他的都还好（我觉得我作为一个四川人似乎除了去长三角最东边那个超级城市被歧视过之外一直挺受欢迎来着）,Different
1,我国2018年的书看看同性恋是不是要治疗。,0,我国2018年的书看看同性恋是不是要治疗。,Different
1,这位亲爱的中国朋友你好！非常感谢你对我们非洲人的认可、尊重、爱戴和理解，我们黑人将铭记在心，同时历史文化博大精深的我们也明白滴水之恩当以涌泉相报的道理，我们将努力传播中非友谊，把非洲老家的父老乡亲七大姑八大姨都接到中国来生活定居，多多益善，其乐融融，黑和黄的种族融合是世界大同和文明进步的标志，我们优秀的非洲人带着模范非洲社区（遍布美利坚瓦坎达合众国的非洲社区都具有以下特点：欣欣向荣、经济繁荣、公序良俗，当地人热情好客、温文尔雅、自食其力、勤劳勇敢、聪明伶俐）经验，不远万里漂洋过海历经千辛万苦，来到东亚深深扎根和安居乐业，既能增进非洲和中国的感情，又能帮你们更进一步地提高体育竞技成绩和国际名誉，两全其美，合作共赢，何乐而不为？山东大学的学伴制度和25个中国学生轮流照顾一位我们非洲男人的事迹感动人心，我要点10086个赞，身为一个非洲男人，我也倍感欣慰和骄傲，我们两国人民手牵手、你中有我、我中有你像石榴籽一样团结在一起，打破种族主义的桎梏，共同为中非友谊万古长青的美好愿景添砖加瓦！共勉！,0,这位亲爱的中国朋友你好！非常感谢你对我们非洲人的认可、尊重、爱戴和理解，我们黑人将铭记在心，同时历史文化博大精深的我们也明白滴水之恩当以涌泉相报的道理，我们将努力传播中非友谊，把非洲老家的父老乡亲七大姑八大姨都接到中国来生活定居，多多益善，其乐融融，黑和黄的种族融合是世界大同和文明进步的标志，我们优秀的非洲人带着模范非洲社区（遍布美利坚瓦坎达合众国的非洲社区都具有以下特点：欣欣向荣、经济繁荣、公序良俗，当地人热情好客、温文尔雅、自食其力、勤劳勇敢、聪明伶俐）经验，不远万里漂洋过海历经千辛万苦，来到东亚深深扎根和安居乐业，既能增进非洲和中国的感情，又能帮你们更进一步地提高体育竞技成绩和国际名誉，两全其美，合作共赢，何乐而不为？山东大学的学伴制度和25个中国学生轮流照顾一位我们非洲男人的事迹感动人心，我要点10086个赞，身为一个非洲男人，我也倍感欣慰和骄傲，我们两国人民手牵手、你中有我、我中有你像石榴籽一样团结在一起，打破种族主义的桎梏，共同为中非友谊万古长青的美好愿景添砖加瓦！共勉！,Different
1,这个“大部分”和“少部分”还真不好下结论，因为人数占比的问题，txl爱上yxl的例子真是太多了。而陷入爱里的人，能够做到不打扰还真不是件容易的事。而一些被过度打扰的直人就很容易产生反同情绪。,0,这个“大部分”和“少部分”还真不好下结论，因为人数占比的问题，txl爱上yxl的例子真是太多了。而陷入爱里的人，能够做到不打扰还真不是件容易的事。而一些被过度打扰的直人就很容易产生反同情绪。,Different
0,现在互联网上男性对这张图的评价是打情骂俏，那就让我们再过5年后看看吧，若还是那德行，可能真没救了,1,现在互联网上男性对这张图的评价是打情骂俏，那就让我们再过5年后看看吧，若还是那德行，可能真没救了,Different
0,我是湖北的我不反对哦，好多男孩确实爱面子，兜里没钱吃喝玩都要好的，不过好的也有很多，属于两极分化了，是因为我们那的人讲理，很客气咋说了就是想把自己好的待客，算烟都拿最好的，其他坏毛病少，别喷我啊,1,我是湖北的我不反对哦，好多男孩确实爱面子，兜里没钱吃喝玩都要好的，不过好的也有很多，属于两极分化了，是因为我们那的人讲理，很客气咋说了就是想把自己好的待客，算烟都拿最好的，其他坏毛病少，别喷我啊,Different
1,他不是种族歧视 他是物种歧视,0,他不是种族歧视 他是物种歧视,Different
1,一切起因都是因为我当时偶然发现它用它之前的号在艾滋病吧的帖子，就在当天它就作假我的图片,0,一切起因都是因为我当时偶然发现它用它之前的号在艾滋病吧的帖子，就在当天它就作假我的图片,Different
1,新疆人被歧视和其他省份人被歧视，本质上是不同的，有不同的东西在里面，你新疆基层干不少时间了，这应该能懂。,0,新疆人被歧视和其他省份人被歧视，本质上是不同的，有不同的东西在里面，你新疆基层干不少时间了，这应该能懂。,Different
0,外国那种不带套的习惯，还真让人害怕,1,外国那种不带套的习惯，还真让人害怕,Different
0,地域黑子出来答话,1,地域黑子出来答话,Different
