"text","label","split"
"前年我还想着一切aa不占男人便宜呢，现在？去他爹的谁爱结婚谁结去，自己买房买车不生仔儿，养猫过日子它不香吗","1","train"
"你看过吗？你看过他以前为女权发过的声吗？你看过吗？张口喷屎？ 营销号和田园女权说什么你都信","1","train"
"姐姐，咱们都是人，不能不要爹也不要妈，好好赚钱吧，有钱李现王一博都任你摆布好吧。","0","train"
"就是钱不够用了，不想做，之前还和c罗搂搂抱抱～ 很搞笑","0","train"
"CJ啊，一看就是很有钱的亚子，我说这公司到底给你投了多少钱，才把你救出来啊！","0","train"
"再怎么现实也绝对赶不上男人十分之一，望尘莫及","1","train"
"懒的再浪费时间回复你。有这时间还不如多看看书充实自己升华思想。你对别人说的不得自己先做到？就这样吧。,继续？你还能说出什么浅薄无知人身攻击的网络词语的话让我大开眼界。,还是……您认为上大学的学历就可以让您有资本拿出来耀武扬威高人一等？,不好意思要是别人是也高学历您不也是啪啪打脸，有意思的是您只是一个劲的嘲讽别人本体。论述观点本没错，您横叉一脚主动回复还别人评论下嘲讽，是否教养有点欠缺。高学历没教养您也只是一个空架子。明眼人都能看出来您不了解实情，一味让别人多读书的语很可笑。","0","train"
"我觉得你简直好惨一女的，骂女奴也会想到你，骂田园女拳也要带上你","0","train"
"主要是现在说一句那女的不对劲的话就喷你水军，蒋劲夫的舔狗之类的，简直跟邪教一样","1","train"
"我在谈第一个之前都不知道男人有蛋！！","0","train"
"我医院里有人弃婴，儿科没毛病，没半个小时就有人要领，自己医院的人。最后如何不知，但要领养的真很多。","0","train"
"这个问题最后的解决就是，男人的腿肚子可以怀孕，男女双方各人生各人的，互不搭界就欧开了。靠，还一块儿玩不玩了？","1","train"
"你说的每一个字我都赞同🙏一群价值观还未完全成熟的小姑娘，明明可以自由享受爱情的美好与苦涩，被一帮不怀好意的人利用歪曲，图啥呢","0","train"
"激进女权扬言要杀光国男的时候也没有女性要站出来谴责，或许这就是男人沉默的原因吧，现在支持你们相当于支持革掉自己的命，谁会想要自取灭亡。。。","1","train"
"可怕的是那些演员急着撇清关系，忘记了自己当初是如何跪舔导演的时刻","0","train"
"那些单亲妈妈愿意放弃“更有利于她们和孩子福祉”的婚姻生活，肯定是因为单身更有利于福祉呀。我觉得单亲妈妈是不幸的婚女，婚内的女性和孩子是较为幸运的婚女。更何况。所以我觉得你这个比较只能说明不幸的婚姻和幸福婚姻对孩子的影响，无法说明单身生育有啥影响。,非杠，很多单亲母亲的孩子都是婚生子啊，单亲孩子受到了母亲的弃养此时父亲不应该是第一个出来扛起责任嘛？？本可以夫妻共同育儿但最终成为女性贫困，该负责人的肯定是孩子的父亲啊","0","train"
"我如果能生两个的话我想让其中一个跟我姓唉 就我觉得男生以及男生家庭那种宗族子嗣的观念还是很强的 我觉得这个问题协商不好的话会困扰我","0","train"
"同意，不光是规训问题，有些女人也是靠这种制度剥削他人的既得利益者，一环套一环","0","train"
"我去他那微博看了也没表现什么女权啊，只是嘲讽了lzx的多人运动而已啊，难道有我看不懂的？","0","train"
"你又在放什么屁呢？所以合着每个人都应该从众呗？不从众就是错？受了父权社会这么久的压迫，与他们对抗就是错？","1","train"
"女性权利，愿早日站起来，以我自身家庭的重男轻女状态，我选择的是离得远远的，我觉得有的时候既然碰不得，那就远离他。","0","train"
"少壮不努力，老大徒伤悲，真的很适合女人了。,对于年轻女孩来说，有个男人养着，婆婆伺候着，只要生个孩子就可以享受各种买买买，不劳而获的诱惑太大。等结婚多年面临一系列婚姻问题时，才发现这么多年自己放弃了社会地位，变成了没人养就不能活的寄生虫。这种时候也没什么谈女权的资格了，路都是自己走出来的，女权不是男人的怜悯和不劳而获。","1","train"
"Metoo运动里真正的臭老鼠就是你和昔日的好姐妹阿基多了","1","train"
"不是洗，拿一个小片段就被yxh，首先洋公司老板都是女的何来厌女一说?再是脱衣服的动作，他的意思是指粉丝只想得到他的身体，是在开玩笑，不是粉丝会那么做，再是表情包是有粉丝在粉丝群里危险发言，洋在警告，上来就喷，我们团糊，这种黑通稿真没什么必要买","0","train"
"//<username>她们可不觉得自己是田园女权，还以为自己是男权口中的真女权呢。觉得自己是被男权认可的，自豪着呢。","1","train"
"说得好呀！设女性车厢一看就是男权的体现呀，简单粗暴的划定一个所谓的保护区，女的就乖乖呆在里面吧。。走到普通车厢被骚扰了，就叫活该吧。。","1","train"
"我知道现实生活需要各自体谅，都真心为家庭付出。但是现在的女权风气真的吓人，朝着新蓄奴主义发展，不讲明平权不行。","1","train"
"其实不管什么还是从对立面来看都成立的，环境对女性的阻碍或者说歧视，也是女性自身特点的一些对立面，我不敢说博主说的那里错但从对立面看，如果女权运动要有显着进展，女性身上的一些发光发亮的特点也会因此消失，最简单的栗子就是娇柔所以女权的胜利是需要代价的就是女“性”不断向男“性”无限靠近","1","train"
"是的，钱都是要还回去的，拜金女其实一分钱都拜不到，屌子多精","1","train"
"啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊写得好好啊啊啊啊啊啊啊啊啊啊能转发吗！（会备注原作者的）","0","train"
"一个白手起家的四十多岁的企业家，能被20岁的女大学生仙人跳，这个智商也是很堪忧","0","train"
"毕竟我们真心实意的希望现实也能成为拳师，也真心实意希望他们现实能癌","1","train"
"百度女权吧确实是连基佬一起批斗的","1","train"
"看看是不是等到你死了，你全家能还在被轮奸呢","1","train"
"好问题，也真的有人在我和我朋友聊天时问我们，女生应该把这些挂在嘴上吗？","0","train"
"艾梅柏这种德性居然有人帮她洗……服了","0","train"
"大概因为“女权”这个名头被搞臭了，所以上来就怼，且怼的只是那部分bb这，bb那，但是bb完自己还不报考的只会bb的钢筋混凝土","1","train"
"你不知道同等岗位男女薪资不一样吧！你不知道女的在一定年纪出去找工作就被歧视吧！你不知道很多工作不要女的吧！你更不知道多少女性生完孩子就不能回到原岗位吧！你更不知道婚后有多少是丧偶式婚姻吧！","1","train"
"看小朋友排队打针了么。我们或许就是第三个、第四个。,怕越来越多的职业隐形拒绝女性。,怕被逼着结婚生娃。","1","train"
"说明一下，判决结果出来了，德普终于沉冤昭雪，他前妻艾梅柏当庭承认自己诬陷德普并且家暴了德普，我最新一条微博里贴了实锤，望周知","0","train"
"所以一个人不整天嘴上挂着爱国就是不爱国，一旦嘲讽无脑爱国就是不爱国是吧？","1","train"
"我真的从小到大，恐男，每到新环境和女生们都很合得来。","0","train"
"唉 上世纪70年代的阿富汗女性还是可以抛头露面的 她们的着装到现在都不过时","0","train"
"不给饭吃时，男主就已经很尴尬了，好期待下周二","0","train"
"我已经说了，选择并不是“凭努力”和“走捷径”，而更可能是“答应权色交易”和“毁了你的人生”。只有地位权利对等的人才可能拥有平等的，可拒绝的交易，而这一点不可能发生在韦恩斯坦和一个演艺界的nobody身上。不然张紫妍为何选择自杀？,但这并不是一个可轻易拒绝的交易。文章里有提到，拒绝的代价是惨重的，你面临的可能包括全剧组坐飞机去了下个地方，只留下你一个人，对你的抹黑，对你事业的封杀等等。伊娃格林当年那么火，不也杠不过韦恩斯坦的报复。我觉得我们应该对他们多一点同情，而不是苛责,建立在权利关系不对等下的“潜规则”真的是你情我愿的吗？被“潜规则”的人真的有权利和勇气拒绝吗？","0","train"
"就是梁钰的事。女明星被屌子骚扰了，找她来求助。她发微博之后，粉丝又说能不能删掉微博里女明星名字的tag。然后女权这边觉得她们卸磨杀驴，明星粉丝那边也有人说不要沾女权沾女权会很危险、甚至有人说女权蹭热度啥的。然后就变成两边互骂…我也是看到了一些少量对女明星和女粉丝群体的辱骂，总之","1","train"
"我是感觉目前所见的“极端女权”都还没有很“极端”……","1","train"
"已经杀了杨国忠，如果杨贵妃不死，怕过后再被清算吧。不过更多的是迁怒，这种一般都打“清君侧”旗号，即使知道是君的问题也不大会把君清掉","0","train"
"<username>一般情况下炸号只能是团队下场","0","train"
"虽然对文中例如  女权婊 等很多词汇不认同，但是还是想转一下。正常的一段关系应该是男女双方互相尊重为前提，家暴存在的前提是男女双方地位的不平等，不只是打人一方是施暴者，言语冷漠暴力也很恐怖。真希望都能学会好好说话，而不是越来越多的人成为杠精。","1","train"
"abh是需要领卷买吗？怎么才能变成138的价格啊？先谢谢姐妹","0","train"
"我一开始读《月亮与六便士 》就发现这本书里极度厌女  但是听别人说看到他的《面纱》里的女主又不太一样  有点儿无从考证他厌女症到底严不严重 因为《金蔷薇》这本书有一个观点 就是一本小说的人物一旦设定好以后 她/他后续在情节中展现的性格是作者不能控制的","0","train"
"细看整件事的前因后果的时候，胸口就像有把刀插进去转","0","train"
"这应该不是性丑闻吧，这是刑事犯罪，性丑闻一般指的应该是affair之类的，但还是consensual sex","0","train"
"女人只有无条件服从男人才是政治正确","1","train"
"不是吧。如果一个男的油腻又做作，偏男性一点就会被说爹味，偏女性一点就会被说姨。本质是这个男的油腻又做作。反而用姨味形容女的比较少见。","1","train"
"就好像没出过烂片似的，都是圈钱的东西，无非起步早点，资本原始积累的比较足，有制定规则的话语权罢了，本质上与横店无太大区别。,就一美国的横店，别拔的那么高，哪个国家还没个娱乐产业。","0","train"
"是的，我也是女性滤镜极厚，如果对方是女的，就心软，一旦确定了性别男，马上开骂","1","train"
"都一样可怕。上回见个屌癌看不上全中国女性","1","train"
"在这种情况下，营销号反而是把女性放在了弱势方，认为女性的财富只能通过男性才能获得，女性依附于男性。真要平权，女性自己也能创造相等财富（不存在职位上升阻碍等），不能强制要求男性的财富多于女方，男性不用一人背负“房子车子票子”的重担，完全有理由要求女方一同承担，其实平权也是在解放男性","1","train"
"针对女性的暴力可不是个小数目，如果留意的话，生活里还挺常见的","0","train"
"经常看到“有钱我去买个高质量精子/卵子”、“有钱我不婚不育以后住高档养老院”…我尼玛…你有钱吗？？？能不能有钱了再说？？？你真的有钱还在这B话连篇？？？","1","train"
"这人是有病吧。姓氏是历史的产物，现在就算从母姓也是男人的姓。而且最早的姓氏是部落名，也不代表个体。真要这么较真，就自己造个姓吧","0","train"
"买房靠爹妈，生娃靠老婆，就因为自己性别为男，就迷之自信。","1","train"
"你以为ddl没人说啥？还是给华盛顿最保险，谁敢说个不字就是歧视。","0","train"
"而且一群人叫着女性自由女性独立 尼玛的跟着女孩子姓难道就是独立了？ 把独立放在这种浮于表面肤浅的东西上  这辈子他们都没搞懂独立是独立的啥玩意","1","train"
"还有聊斋，都是穷书生没钱没地位也没有女人，所以意淫出来的，无论相貌家世都喜欢他们穷屌丝喜欢的不行不行的","1","train"
"说这屁话的这个人，微博名有一个字居然跟我名字里一个字相同，我感觉被冒犯到","0","train"
"一个好的作者赋予笔下人物生命，人物从此开始鲜活，他有他自己的性格和人生，作者只是跟随他的行动做下记述。显然很多人不懂这个道理。","0","train"
"跟谁姓是她的自由你凭什么指手画脚","0","train"
"如果家里在经济上管得不太严的话，自己去做个人的咨询也比不做强。找个靠谱的里面最便宜的就行。靠谱的意思是没有任何办卡、打折、预付乱七八糟的，具体可以看这篇http://t.cn/A62t7rrB","0","train"
"什么男权，也是抖机灵好嘛。连抖机灵都不会，未免太无趣了吧。","0","train"
"这所谓的平等主义，不就是部分利益群体以为集体之间的平权为名义，而希望获取无条件优待名额的敲诈吗？","0","train"
"不怎么样，话题都被封了，谁特么以后都别再提平等，太可笑了。","0","train"
"但除了傻男，有几个男的在意她们说啥呢？","1","train"
"看到你恶心才会拉黑 恭喜你又成功恶心到我了","0","train"
"要是有人给我说什么倒霉来了我绝对听不出来她说什么还会觉得他诅咒我","0","train"
"我翻译一下：正常人太可怕了。不正常的吞噬女性的氛围才是正常的。。","1","train"
"支持色情小说，还来一本正经谈女权，也真会玩啊","0","train"
"(ㅍ_ㅍ)嗯，接受不了很累很辛苦还没啥成就感还理所应当不被感谢。","0","train"
"对里面他演李泰兰后来那个丈夫对她特别好","0","train"
"对的 承认90%的女性在婚姻里都是驴的这个事实也没什么","1","train"
"同伴的支持下一步就是发展成组织团体，接着就有集会运动的可能。这种类政治运动是绝对不可能被允许的，所以导致目前女权只有嘴，没有强壮的body。零散的随时被炸号的微博思想启蒙是第一步，也只可能是最后一步了。","0","train"
"女权和穆斯林站在一起，真是个搞笑的画面啊","1","train"
"这个发型一般人还不行呢，显得头大脸大，只有小脸小头才撑得起来吧","0","train"
"用魔法打败魔法  用强硬对抗蛮横 还是要有势均力敌的第一线 不然他们会有天下无敌的错觉","1","train"
"与一切异见者保持对立，往往是愚者自以为是的“理性”。","0","train"
"我谁也不站，我只是说凡事讲证据，而不是只在媒体公众年前控诉拉拢舆论…当然WA生活的确不检点，娶了算是他半个养女的人为妻，的确有些乱伦","1","train"
"她说的大字报是单指那些在网络上的夸大其词吧？我同意她前几点的认识，后面的行动建议多少有点精英式的旁观了。","0","train"
"能说出这话的你让他怎么品 这会在疯狂挠头呢 ：怎么办 有点看不懂 去知乎上随便复制一段看上去就很厉害的好惹","0","train"
"中国结婚的女的估计得有99%吧，反婚反育的女的撑死几十万几百万？占绝大多数婚女不应该自己站起来进行斗争吗？","1","train"
"我前段时间又重温了黄手帕，超喜欢他的，没想到。。。","0","train"
"我现在最怕的不是热点事件 而是热点事件的反转 一如去年轰轰烈烈的三色幼儿园事件 引发巨大关注的性 侵传言也真的是子虚乌有 造谣一张嘴辟谣跑断腿","0","train"
"图一的后续，我真的震惊了，刷新了我认为的智商下线。难怪男人个个都只会跟反婚女权谈“你嫁不出去”“你以后别跟男人要彩礼”“你要权利不要义务”。感情他们真的觉得女人跟男人一样不结婚会灭绝？,你看看，平权从各种角度骗极端女权管她们妻权呢！还犯傻吗？","1","train"
"导演的亲儿子因为他娶了养女 跟他决裂了","0","train"
"它们的大脑平滑到可以在上面溜冰，真的不是一个物种啊姐妹","1","train"
"田园女权的标签带好，别掉了。人家说什么了就扯到奴性....","1","train"
"真的很支持真正的女权。伪女权不会帮到女性什么，反而会让男性去压制女权，毕竟这个世界百分之98的高端企业+各国管理层都是男性，女权问题真的不是去骂男人，所有的男人都坏么？我身边的家庭根本没有家暴，都是女性比较掌握着家里的钱和房产，我家就是。我姐也是，我邻居亲戚都是，所以看微博害人真的,吃跟研发💊是两回事 没必要归于两性问题，这群女的跟疯了一样，真的怕，你让你男朋友自觉戴套就可以，为啥非要扯那么多事，去骂男的，微博女性每次都这样，都快恶心到了，互相尊重不可以么？男女不可以平等么，非要一个人占上风？","1","train"
"这次报道的所有女性也和我霉一样棒！","0","train"
"希望我们在看到第一个被诱惑➕强迫结婚的时候就能奋起反抗。","0","train"
"《劳作的女人:20世纪北京的城市空间和底层女性的日常生活》书名","0","train"
"有了田园女权，才会对婚女怀柔；没有田园女权，怀什么柔？","1","train"
"我们如何看待李星星的故事，是我们是否愿意抛开男权的话术与谎言，看到女性在迫于当下社会的各种男性权力以及话语的压迫下的挣扎与痛苦，脆弱与无力。这件事从来不存在任何反转，她是这件事从始至终的唯一受害者。","0","train"
"那你们有没有想过在目前这个社会现实下反婚反育会有什么样的后果，现在男女比例本来就失衡严重，加上反婚反育的，以后强奸拐卖妇女儿童的案子只会越来越多，多少无辜的女性会受害，而她们难不成就是你们复兴母权道路上的献祭品吗？","0","train"
"想起来 一个同事妹子之前说你这样哪个男人要你","0","train"
"屌子喜欢说田园女拳极端，然而他们对自己像狗一样穷追猛舍的碰瓷视而不见","1","train"
"是这样的，直男rps真的好搞，对就是说云，蹴鞠这种直男多的搞混邪多爽啊","0","train"
"我去，现在女人要比男人努力的多好吗","1","train"
"真香呗，我从来不觉得世上没有好男人，没有只是没遇到","0","train"
"偶像这个不劲爆，流量今天蹭的不行还是来谈谈227网暴xz吧！名着《下坠》连载吧！毕竟被国家墙了我们看不到","0","train"
"只有经历过性骚扰和性侵的人才能体会情绪起伏和情绪反复有多正常，那是她的理智在和自己斯德哥尔摩的求生本能对抗！正说明了女孩有多么不情愿，斯德哥尔摩不是女孩的错！！！是恶魔太恶！！！","1","train"
"原po都找上门来了还死鸭子嘴硬呢 真就狗的逻辑都比您自信","1","train"
"说到农村哦你大概看到的只有表象，麻烦随便去看个数据再来跟我扯犊子。农村重男轻女才是最重要的，还有我说的是从政，不是扯到华为高层。还有我怎么说中国男人配不上中国女人了？麻烦看到我选的话题，谢谢！戏怎么这么多呢！,很喜欢啊，没说不喜欢。问题是，从政人数中，给女孩子的机会也有多少呢","0","train"
"有的男人就怕女人清醒了，知道男人是累赘。第二性的悲哀，没有第一性活不下去。","1","train"
"把你头像换了再来说你喜欢长发行吗？顶着男人头像我没兴趣跟您讨论","1","train"
